"Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product"
"[Percent] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: October 29, 2020 - Next Release Date November 25, 2020"
"Line","","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","        Gross domestic product",-1.1,5.5,5.0,2.3,3.8,2.7,1.5,0.6,2.3,1.3,2.2,2.5,2.3,1.7,2.9,3.9,3.8,2.7,2.1,1.3,2.9,1.5,2.6,2.4
"2","Personal consumption expenditures",1.6,4.4,4.4,4.9,3.6,3.2,3.4,2.2,3.1,2.6,2.6,2.5,3.2,1.8,2.3,4.2,2.0,3.2,2.7,1.6,1.8,3.7,2.7,1.6
"3","    Goods",2.7,7.4,4.7,5.5,4.9,4.3,4.6,1.6,4.4,4.1,4.0,2.1,3.9,4.9,4.1,7.7,2.1,4.2,2.8,2.6,2.5,7.7,4.2,0.6
"4","        Durable goods",6.5,15.2,7.5,7.8,7.4,8.7,5.5,2.3,5.6,5.5,10.9,6.0,3.9,6.5,8.8,13.4,4.0,7.1,3.2,2.5,1.0,12.7,6.3,3.1
"5","        Nondurable goods",0.9,3.9,3.4,4.4,3.7,2.2,4.1,1.2,3.8,3.3,0.7,0.1,4.0,4.1,1.8,5.0,1.1,2.8,2.7,2.6,3.3,5.3,3.1,-0.7
"6","    Services",1.0,3.0,4.2,4.7,3.0,2.7,2.8,2.4,2.5,1.9,2.0,2.7,2.8,0.4,1.5,2.6,2.0,2.7,2.6,1.1,1.5,1.9,2.0,2.0
"7","Gross private domestic investment",-4.4,18.0,8.4,0.4,14.7,1.2,-0.8,-4.7,-2.4,-3.4,0.1,11.2,-1.2,3.7,7.6,6.3,11.0,-1.1,10.2,3.9,3.9,-5.8,1.8,-3.7
"8","    Fixed investment",4.1,11.6,7.9,4.7,1.1,3.5,3.4,-1.1,2.0,1.5,3.2,2.7,7.1,1.6,1.2,9.5,8.5,4.4,0.8,2.6,2.9,-0.4,2.4,1.0
"9","        Nonresidential",5.7,11.2,8.3,2.5,-0.5,1.8,1.5,-3.2,-1.1,2.4,4.7,1.5,5.9,2.4,2.1,9.2,12.2,6.2,2.6,5.0,4.2,0.0,1.9,-0.3
"10","            Structures",14.8,14.9,1.3,6.7,-4.2,3.0,-12.0,-15.1,-13.9,7.6,16.6,6.2,7.9,-0.7,-10.9,4.7,21.6,5.0,-5.9,-12.6,8.2,1.6,3.6,-5.3
"11","            Equipment",3.5,10.4,12.8,-3.5,3.3,1.5,6.5,-5.0,-2.5,-4.2,-1.4,-0.7,4.7,5.1,6.2,14.1,10.1,2.4,6.1,9.6,2.0,-3.8,-1.7,-1.7
"12","            Intellectual property products",2.5,9.5,7.4,8.6,-2.9,1.4,5.5,9.7,11.0,8.5,5.4,1.0,5.9,1.1,6.7,6.0,8.8,12.3,4.4,12.1,4.5,4.1,5.3,4.6
"13","        Residential",-2.8,13.4,6.0,15.0,8.1,10.4,11.2,7.2,14.2,-1.6,-2.1,7.2,11.7,-1.1,-1.7,10.5,-3.3,-1.7,-5.4,-5.2,-1.7,-2.1,4.6,5.8
"14","    Change in private inventories","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"15","Net exports of goods and services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"16","    Exports",-2.8,8.9,1.8,3.9,-3.0,1.0,-3.4,-0.6,-0.9,1.5,6.9,-1.4,8.3,1.0,2.6,11.5,2.7,1.9,-5.2,2.8,1.8,-4.5,0.8,3.4
"17","        Goods",-6.7,11.1,4.1,3.4,-7.6,2.7,-4.1,-2.3,2.1,-0.9,7.1,2.0,7.5,-1.6,2.8,16.6,1.3,8.5,-8.4,4.3,3.9,-9.1,3.1,2.5
"18","        Services",6.4,4.5,-2.9,5.0,7.1,-2.3,-2.0,2.5,-6.4,6.1,6.7,-7.5,9.7,6.0,2.5,2.7,5.4,-9.6,1.3,0.1,-2.0,4.9,-3.2,5.1
"19","    Imports",4.6,10.6,1.0,10.1,6.4,2.5,3.5,0.9,-0.4,-0.3,5.1,6.8,4.3,3.6,1.7,13.1,0.3,-0.1,8.0,4.1,-2.1,1.7,0.5,-7.5
"20","        Goods",5.7,11.4,1.1,10.7,8.7,2.3,3.0,-1.1,0.0,0.1,4.5,8.0,4.0,2.7,1.2,16.7,1.5,-0.1,9.1,3.2,-2.7,0.1,0.7,-9.4
