,RF,Log,SVM,XGB,stack
0,0.292,0.16799999999999998,0.312,0.296,0.312
1,0.24399999999999994,0.13199999999999995,0.284,0.26799999999999996,0.26799999999999996
2,0.17600000000000005,0.08799999999999997,0.236,0.16800000000000004,0.17600000000000005
3,0.17200000000000004,0.05999999999999994,0.264,0.20799999999999996,0.19999999999999996
4,0.19999999999999996,0.07599999999999996,0.29599999999999993,0.23199999999999998,0.244
5,0.21999999999999997,0.03600000000000003,0.28800000000000003,0.24,0.24
6,0.29600000000000004,0.14,0.32800000000000007,0.276,0.29200000000000004
7,0.20399999999999996,0.09599999999999997,0.252,0.22799999999999998,0.24
8,0.26399999999999996,0.08400000000000002,0.308,0.284,0.27999999999999997
9,0.23199999999999998,0.11199999999999999,0.264,0.236,0.264
10,0.264,0.132,0.29600000000000004,0.256,0.26
11,0.28,0.09599999999999997,0.28,0.24,0.23199999999999998
12,0.244,0.07599999999999996,0.276,0.264,0.26
13,0.244,0.09199999999999997,0.276,0.264,0.28
14,0.316,0.176,0.32,0.296,0.308
15,0.25199999999999995,0.14799999999999996,0.25199999999999995,0.284,0.26399999999999996
16,0.21999999999999997,0.08799999999999997,0.256,0.20399999999999996,0.22399999999999998
17,0.288,0.14399999999999996,0.308,0.3,0.3
18,0.20799999999999996,0.04399999999999993,0.22799999999999998,0.18799999999999994,0.19199999999999995
19,0.276,0.09999999999999998,0.22799999999999998,0.256,0.272
20,0.26,0.128,0.31200000000000006,0.22799999999999998,0.248
21,0.268,0.10399999999999998,0.30000000000000004,0.252,0.272
22,0.3,0.188,0.36400000000000005,0.316,0.316
23,0.20000000000000007,0.09199999999999997,0.28400000000000003,0.272,0.276
24,0.288,0.15999999999999998,0.3,0.26799999999999996,0.27999999999999997
25,0.21199999999999997,0.11599999999999999,0.276,0.21599999999999997,0.21999999999999997
26,0.244,0.128,0.28,0.268,0.28
27,0.27999999999999997,0.16799999999999998,0.32,0.26799999999999996,0.26399999999999996
28,0.18399999999999994,0.08399999999999996,0.22399999999999998,0.20799999999999996,0.21599999999999997
29,0.20399999999999996,0.07599999999999996,0.268,0.18399999999999994,0.18799999999999994
30,0.264,0.09599999999999997,0.28400000000000003,0.268,0.26
31,0.17600000000000005,0.06000000000000005,0.236,0.20399999999999996,0.19599999999999995
32,0.28400000000000003,0.18000000000000005,0.3320000000000001,0.28,0.276
33,0.22399999999999998,0.136,0.272,0.18800000000000006,0.21199999999999997
34,0.272,0.07599999999999996,0.256,0.21199999999999997,0.23199999999999998
35,0.236,0.07999999999999996,0.244,0.22799999999999998,0.244
36,0.252,0.17600000000000005,0.272,0.256,0.26
37,0.22399999999999998,0.08399999999999996,0.272,0.244,0.248
38,0.30800000000000005,0.14800000000000002,0.33599999999999997,0.26,0.29600000000000004
39,0.22399999999999998,0.020000000000000018,0.256,0.24,0.264
40,0.21999999999999997,0.07599999999999996,0.268,0.244,0.256
41,0.29600000000000004,0.07599999999999996,0.264,0.244,0.236
42,0.292,0.14399999999999996,0.328,0.304,0.308
43,0.19199999999999995,0.128,0.264,0.24,0.252
44,0.18799999999999994,0.040000000000000036,0.24,0.15200000000000002,0.16000000000000003
45,0.264,0.11199999999999999,0.244,0.21599999999999997,0.244
46,0.16800000000000004,0.06399999999999995,0.252,0.16800000000000004,0.17199999999999993
47,0.288,0.13599999999999995,0.296,0.27599999999999997,0.27599999999999997
48,0.21599999999999997,0.06799999999999995,0.30400000000000005,0.23199999999999998,0.21599999999999997
49,0.296,0.13999999999999996,0.292,0.292,0.296
50,0.20399999999999996,0.11599999999999999,0.256,0.22799999999999998,0.26
51,0.22799999999999998,0.11599999999999999,0.21199999999999997,0.23199999999999998,0.23199999999999998
52,0.19199999999999995,0.06799999999999995,0.264,0.19199999999999995,0.21199999999999997
53,0.26799999999999996,0.11199999999999993,0.32,0.26399999999999996,0.26399999999999996
54,0.23199999999999998,0.09599999999999997,0.30400000000000005,0.268,0.248
55,0.244,0.09599999999999997,0.276,0.236,0.24
56,0.21599999999999997,0.124,0.28400000000000003,0.22399999999999998,0.21599999999999997
57,0.20799999999999996,0.128,0.248,0.264,0.272
58,0.21199999999999997,0.05599999999999994,0.2919999999999999,0.21599999999999997,0.22399999999999998
59,0.16800000000000004,0.09199999999999997,0.244,0.22799999999999998,0.21599999999999997
